City,Country,Lat,Lng,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date(dt)
vanimo,PG,-2.67,141.3,81.54,74,100,1.68,1591751083
santa cruz,BO,-17.8,-63.17,77.0,83,20,9.17,1591750881
zonguldak,TR,41.25,31.83,59.94,84,0,3.13,1591751083
wad madani,SD,14.4,33.52,80.28,61,100,13.53,1591751083
guhagar,IN,17.48,73.19,81.09,82,0,1.97,1591751084
makushino,RU,55.21,67.24,67.01,63,100,5.84,1591751084
nantucket,US,41.28,-70.1,64.0,87,90,4.7,1591751084
bilma,NE,18.69,12.92,88.56,13,47,4.72,1591751084
pamatawan,PH,14.93,120.21,86.0,70,75,3.36,1591751084
virton,BE,49.57,5.53,55.0,88,98,4.88,1591751084
bathurst,AU,-33.42,149.58,59.0,79,100,3.67,1591750876
ginda,IN,30.69,78.49,66.9,61,0,4.14,1591751085
fergus falls,US,46.28,-96.08,60.8,93,90,19.46,1591751002
luau,AO,-10.71,22.22,57.42,57,0,4.03,1591751085
timaru,NZ,-44.4,171.25,53.71,54,0,3.62,1591750870
balyaga,RU,51.15,108.92,62.26,45,100,3.78,1591751085
salina,US,38.84,-97.61,75.2,50,1,26.4,1591750804
saint george,US,37.1,-113.58,84.0,10,1,8.05,1591751085
soyo,AO,-6.13,12.37,74.97,87,80,8.97,1591751085
chaiya,TH,9.39,99.2,80.01,100,20,2.24,1591751086
petropavlovka,RU,50.61,105.32,52.41,75,100,2.98,1591751086
mayfield,US,36.74,-88.64,82.99,74,90,9.17,1591751086
sawai madhopur,IN,25.98,76.37,89.4,45,4,13.04,1591751086
shiraoi,JP,42.55,141.35,75.0,53,75,11.41,1591751086
djibo,BF,14.1,-1.63,85.14,52,98,18.52,1591751086
ormond beach,US,29.29,-81.06,82.0,94,75,5.82,1591751086
chumikan,RU,54.72,135.31,39.25,95,100,2.28,1591751086
klaksvik,FO,62.23,-6.59,48.2,93,100,19.46,1591751087
tombouctou,ML,20.0,-3.0,92.77,28,0,19.42,1591751087
filadelfia,US,39.95,-75.16,86.0,51,1,8.05,1591751006
rovaniemi,FI,66.5,25.72,46.4,81,0,10.29,1591751087
hachinohe,JP,40.5,141.5,80.6,47,75,6.93,1591751087
lanzhou,CN,36.06,103.79,60.8,44,97,4.47,1591751087
warrington,GB,53.39,-2.58,53.6,87,100,1.12,1591751087
magistralnyy,RU,56.17,107.45,62.47,41,95,4.18,1591751087
hasaki,JP,35.73,140.83,84.2,51,20,9.17,1591751088
santa maria,BR,-29.68,-53.81,59.0,100,75,4.7,1591751088
beira,MZ,-19.84,34.84,69.8,94,75,4.7,1591751088
hami,CN,42.8,93.45,77.76,16,92,11.18,1591751088
porto santo,PT,33.07,-16.34,64.4,68,40,11.41,1591751088
anadyr,RU,64.75,177.48,62.6,45,87,13.42,1591751088
hovd,MN,48.01,91.64,54.32,51,57,4.38,1591751088
jolalpan,MX,18.32,-98.84,91.0,40,0,1.01,1591751089
mongo,TD,12.18,18.69,87.08,46,66,14.18,1591751089
paamiut,GL,61.99,-49.67,43.48,94,100,5.55,1591751089
kemijarvi,FI,66.71,27.43,44.98,86,5,7.2,1591751089
kelvington,CA,52.17,-103.53,58.98,67,97,8.97,1591751089
trat,TH,12.5,102.5,82.71,81,0,1.32,1591751090
vredendal,ZA,-31.67,18.5,55.17,84,0,9.78,1591751090
novyy urengoy,RU,66.08,76.63,60.03,61,100,11.07,1591751090
manokwari,ID,-0.87,134.08,83.12,70,100,4.34,1591751090
olcea,RO,46.68,21.98,59.0,93,60,3.36,1591751090
san jose,US,37.34,-121.89,87.01,21,20,18.34,1591750967
de-kastri,RU,51.47,140.78,67.32,61,28,5.97,1591751090
salalah,OM,17.02,54.09,84.2,94,75,6.93,1591751090
vetlanda,SE,57.43,15.08,50.0,93,0,2.42,1591751091
chegdomyn,RU,51.12,133.02,61.93,67,84,10.85,1591751091
stalowa wola,PL,50.58,22.05,60.01,93,67,1.01,1591751091
bac lieu,VN,9.29,105.72,80.56,78,100,13.87,1591751091
cap-chat,CA,49.1,-66.68,47.23,53,0,5.79,1591751091
xiuyan,CN,40.29,123.27,72.55,62,100,5.99,1591751091
grindavik,IS,63.84,-22.43,46.4,87,75,6.93,1591751091
maturin,VE,9.75,-63.18,77.74,84,0,7.36,1591750888
svetlaya,RU,46.54,138.33,70.5,50,100,10.4,1591751092
nuuk,GL,64.18,-51.72,41.0,86,100,5.99,1591751092
susanville,US,40.42,-120.65,75.2,22,1,8.05,1591751092
santo angelo,BR,-28.3,-54.26,64.4,100,90,5.82,1591751092
peace river,CA,56.25,-117.29,64.4,31,20,14.99,1591750959
zabolotiv,UA,48.47,25.29,57.99,94,20,2.82,1591751092
dalnerechensk,RU,45.93,133.72,75.47,75,79,9.75,1591751092
catamarca,AR,-28.47,-65.79,62.01,71,83,1.01,1591751093
kincardine,GB,56.07,-3.72,48.99,93,20,1.12,1591751093
patrocinio,BR,-18.94,-46.99,69.8,68,0,4.7,1591750854
hamada,JP,34.88,132.08,77.0,69,75,3.36,1591750842
muros,ES,42.78,-9.06,55.0,82,86,5.99,1591751093
richards bay,ZA,-28.78,32.04,65.98,74,0,15.08,1591751093
riverton,US,40.52,-111.94,68.0,30,1,4.7,1591751093
edson,CA,53.58,-116.44,66.2,17,1,8.05,1591750836
porto nacional,BR,-10.71,-48.42,77.0,78,84,4.7,1591751094
sisimiut,GL,66.94,-53.67,40.53,81,99,8.59,1591751094
praia da vitoria,PT,38.73,-27.07,64.4,88,40,11.43,1591751024
katherine,AU,-14.47,132.27,78.8,57,14,10.29,1591751094
jand,PK,33.43,72.02,88.29,39,5,12.17,1591751094
mattoon,US,39.48,-88.37,82.99,78,90,14.99,1591751094
kirakira,SB,-10.45,161.92,86.38,67,92,7.54,1591751095
trairi,BR,-3.28,-39.27,77.11,83,0,6.02,1591751095
quatre cocos,MU,-20.21,57.76,71.6,73,75,16.11,1591751095
sola,VU,-13.88,167.55,78.8,94,75,5.82,1591751095
alofi,NU,-19.06,-169.92,78.93,68,100,6.4,1591751095
gandiaye,SN,14.23,-16.27,82.4,74,27,6.93,1591751095
labuhan,ID,-6.88,112.21,78.49,82,2,6.38,1591751095
mitu,CO,1.2,-70.17,73.44,94,3,2.44,1591751096
togur,RU,58.36,82.83,50.11,89,100,2.93,1591751096
arlit,NE,18.74,7.39,95.0,10,0,8.34,1591751096
samarai,PG,-10.62,150.67,77.43,93,100,17.16,1591751096
nanortalik,GL,60.14,-45.24,45.21,76,100,19.35,1591751096
butterworth,MY,5.4,100.36,84.2,88,20,3.36,1591751096
mumford,GH,5.26,-0.76,78.91,87,91,12.97,1591751096
abrego,CO,8.08,-73.22,66.85,82,100,3.62,1591751096
banda aceh,ID,5.56,95.32,81.79,72,100,7.2,1591751097
troitsko-pechorsk,RU,62.71,56.2,67.05,60,0,7.87,1591751097
sao felix do xingu,BR,-6.64,-51.99,73.62,82,0,2.37,1591751097
la ciotat,FR,43.17,5.6,59.0,75,0,1.99,1591751097
nueva esperanza,HN,15.27,-87.6,89.6,55,75,6.93,1591751097
wakkanai,JP,45.41,141.67,66.2,82,75,17.22,1591750950
hofn,IS,64.25,-15.21,47.55,79,0,2.19,1591751097
biltine,TD,14.53,20.92,81.21,26,0,2.71,1591751098
andenes,NO,69.31,16.12,41.0,68,0,5.82,1591751098
sabang,ID,5.89,95.32,82.85,73,100,8.95,1591751098
uniao dos palmares,BR,-9.16,-36.03,75.2,88,75,1.12,1591751098
hastings,GB,50.86,0.57,53.6,81,98,3.36,1591750979
russell,US,32.35,-85.2,78.8,88,75,5.82,1591751098
geraldton,AU,-28.77,114.6,60.8,41,94,16.11,1591751098
saint-georges,GD,12.06,-61.75,78.8,94,40,11.41,1591751098
vila do maio,CV,15.13,-23.22,77.0,83,20,10.29,1591751099
terrace,CA,54.52,-128.6,53.6,81,90,5.82,1591751099
snezhnogorsk,RU,69.19,33.25,33.8,71,13,1.52,1591751099
porto novo,BJ,6.5,2.6,80.6,83,40,5.82,1591751099
cabo san lucas,MX,22.89,-109.91,80.6,51,5,14.99,1591750947
ulaangom,MN,49.98,92.07,56.26,39,0,5.5,1591751099
bani,DO,18.28,-70.33,82.99,95,100,8.16,1591751099
coahuayana,MX,18.73,-103.68,77.0,69,40,17.22,1591751100
boa vista,BR,2.82,-60.67,75.2,88,75,5.82,1591751067
aripuana,BR,-9.17,-60.63,75.47,72,0,0.11,1591751100
bay roberts,CA,47.6,-53.26,44.01,52,26,8.1,1591751100
senftenberg,DE,51.52,14.02,57.99,74,43,1.99,1591751100
krasnoselkup,RU,65.7,82.47,57.15,75,100,5.46,1591751100
freeport,US,40.66,-73.58,73.99,73,75,11.41,1591751100
zehdenick,DE,52.98,13.33,54.0,76,100,1.01,1591751100
roebourne,AU,-20.78,117.13,76.69,42,0,10.76,1591751101
damara,CF,4.96,18.7,80.6,78,20,2.64,1591751101
bamnet narong,TH,15.5,101.69,82.83,72,100,6.33,1591751101
xiaoweizhai,CN,26.19,107.51,76.57,81,54,2.1,1591751101
ishigaki,JP,24.34,124.16,84.2,94,75,9.17,1591751101
roma,US,43.21,-75.46,78.8,44,1,5.82,1591750954
sao fidelis,BR,-21.65,-41.75,68.9,87,0,1.45,1591751029
arnia,IN,32.52,74.8,78.8,83,20,6.93,1591751102
lodwar,KE,3.12,35.6,80.2,52,0,17.11,1591750926
patan,NP,27.67,85.33,71.6,88,75,2.24,1591751102
siwana,IN,25.63,72.42,88.12,59,0,11.88,1591751102
imelda,PH,7.65,123.95,82.81,76,47,2.46,1591751102
gandai,IN,21.67,81.1,88.92,43,84,4.32,1591751103
tarauaca,BR,-8.16,-70.77,75.29,87,8,0.83,1591751103
duluth,US,46.78,-92.11,60.8,81,40,11.41,1591751103
almaznyy,RU,48.04,40.05,69.8,56,0,11.18,1591751103
tancheng,CN,27.44,115.5,77.47,92,100,4.43,1591751103
inhambane,MZ,-23.86,35.38,68.2,81,0,2.86,1591751103
rampura,IN,30.25,75.23,94.62,26,5,7.67,1591751104
verkhnevilyuysk,RU,63.45,120.32,54.1,79,100,7.76,1591751105
tarko-sale,RU,64.92,77.78,63.0,78,100,7.18,1591751105
panama city,PA,8.99,-79.52,78.8,88,75,3.36,1591750935
san ramon de la nueva oran,AR,-23.13,-64.33,63.12,86,100,1.59,1591751105
ames,US,42.03,-93.62,75.2,78,75,9.17,1591750912
manicore,BR,-5.81,-61.3,78.8,94,15,1.23,1591751106
